TITLE="DIR08_SCB_EB_E_WD000.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
0.00000000e+000 8.75000000e+000 0.00000000e+000 3.16857723e-004 2.13885505e-004 1.37124002e-004 8.57474190e-005 
0.00000000e+000 1.51554446e+001 0.00000000e+000 2.29427416e-004 1.55534361e-004 1.01039092e-004 6.47544342e-005 
0.00000000e+000 1.95655948e+001 0.00000000e+000 1.94936579e-004 1.32813943e-004 8.61722469e-005 5.54051771e-005 
0.00000000e+000 2.31503240e+001 0.00000000e+000 1.90641279e-004 1.29977360e-004 8.38069077e-005 5.33521027e-005 
0.00000000e+000 2.62500000e+001 0.00000000e+000 1.95249924e-004 1.33011683e-004 8.54513195e-005 5.40006906e-005 
0.00000000e+000 2.90204669e+001 0.00000000e+000 2.04247419e-004 1.38966993e-004 8.90367933e-005 5.59848587e-005 
0.00000000e+000 3.15485737e+001 0.00000000e+000 2.16126284e-004 1.46780323e-004 9.38484487e-005 5.87980172e-005 
0.00000000e+000 3.38886043e+001 0.00000000e+000 2.30868042e-004 1.56523314e-004 9.99022679e-005 6.24159987e-005 
2.50000000e-001 8.75000000e+000 0.00000000e+000 1.01200043e-004 1.10602769e-004 8.33735180e-005 5.97395415e-005 
2.50000000e-001 1.51554446e+001 0.00000000e+000 8.87437877e-005 8.80125489e-005 6.53852062e-005 4.70397859e-005 
2.50000000e-001 1.95655948e+001 0.00000000e+000 9.02098983e-005 8.20259462e-005 5.92945411e-005 4.19596709e-005 
2.50000000e-001 2.31503240e+001 0.00000000e+000 1.03662478e-004 8.73849170e-005 6.13101783e-005 4.21624805e-005 
2.50000000e-001 2.62500000e+001 0.00000000e+000 1.26452768e-004 9.84455752e-005 6.70634554e-005 4.48306403e-005 
2.50000000e-001 2.90204669e+001 0.00000000e+000 1.63220884e-004 1.16132977e-004 7.64848402e-005 4.95581777e-005 
2.50000000e-001 3.15485737e+001 0.00000000e+000 1.97323492e-004 1.33161327e-004 8.58933037e-005 5.45475820e-005 
2.50000000e-001 3.38886043e+001 0.00000000e+000 2.30181671e-004 1.49954575e-004 9.54251567e-005 5.98074889e-005 
5.00000000e-001 8.75000000e+000 0.00000000e+000 3.47109955e-005 5.86029323e-005 5.14006599e-005 4.19252855e-005 
5.00000000e-001 1.51554446e+001 0.00000000e+000 4.10036702e-005 5.35229155e-005 4.41688924e-005 3.49729369e-005 
5.00000000e-001 1.95655948e+001 0.00000000e+000 5.26641177e-005 5.63514835e-005 4.36069267e-005 3.29861521e-005 
5.00000000e-001 2.31503240e+001 0.00000000e+000 7.23315699e-005 6.64971833e-005 4.86061355e-005 3.49208819e-005 
5.00000000e-001 2.62500000e+001 0.00000000e+000 1.04921920e-004 8.31797703e-005 5.75207699e-005 3.92694852e-005 
5.00000000e-001 2.90204669e+001 0.00000000e+000 1.62691568e-004 1.10293577e-004 7.18050634e-005 4.63733233e-005 
5.00000000e-001 3.15485737e+001 0.00000000e+000 2.18382276e-004 1.35231720e-004 8.51152476e-005 5.32295223e-005 
5.00000000e-001 3.38886043e+001 0.00000000e+000 2.75482137e-004 1.59221094e-004 9.79771443e-005 6.00143574e-005 
7.50000000e-001 8.75000000e+000 0.00000000e+000 1.26539132e-005 3.17663828e-005 3.21131509e-005 2.96332694e-005 
7.50000000e-001 1.51554446e+001 0.00000000e+000 2.07682297e-005 3.43073082e-005 3.08943806e-005 2.65353019e-005 
7.50000000e-001 1.95655948e+001 0.00000000e+000 3.34645503e-005 4.12594431e-005 3.36037607e-005 2.67137463e-005 
7.50000000e-001 2.31503240e+001 0.00000000e+000 5.43825045e-005 5.39454665e-005 4.05203024e-005 2.99319977e-005 
7.50000000e-001 2.62500000e+001 0.00000000e+000 9.26100467e-005 7.45705362e-005 5.18360655e-005 3.56559761e-005 
7.50000000e-001 2.90204669e+001 0.00000000e+000 1.69281276e-004 1.09927860e-004 7.03929642e-005 4.48789751e-005 
7.50000000e-001 3.15485737e+001 0.00000000e+000 2.52384340e-004 1.43112525e-004 8.75224988e-005 5.34898582e-005 
7.50000000e-001 3.38886043e+001 0.00000000e+000 3.50328288e-004 1.76124748e-004 1.04135622e-004 6.18557479e-005 
1.00000000e+000 8.75000000e+000 0.00000000e+000 4.84760228e-006 1.75823215e-005 2.03168037e-005 2.10896327e-005 
1.00000000e+000 1.51554446e+001 0.00000000e+000 1.10012382e-005 2.27929866e-005 2.21976725e-005 2.04839903e-005 
1.00000000e+000 1.95655948e+001 0.00000000e+000 2.19547824e-005 3.12942170e-005 2.67026104e-005 2.21281666e-005 
1.00000000e+000 2.31503240e+001 0.00000000e+000 4.19989500e-005 4.51655690e-005 3.47949411e-005 2.62754047e-005 
1.00000000e+000 2.62500000e+001 0.00000000e+000 8.35140183e-005 6.86378187e-005 4.79608074e-005 3.31270027e-005 
1.00000000e+000 2.90204669e+001 0.00000000e+000 1.78573861e-004 1.11627888e-004 7.04347639e-005 4.42916139e-005 
1.00000000e+000 3.15485737e+001 0.00000000e+000 2.98672814e-004 1.54118183e-004 9.15969391e-005 5.46555122e-005 
1.00000000e+000 3.38886043e+001 0.00000000e+000 4.68202889e-004 1.99172208e-004 1.12741801e-004 6.47689832e-005 
1.25000000e+000 8.75000000e+000 0.00000000e+000 1.93158296e-006 9.91585361e-006 1.30054719e-005 1.51086123e-005 
1.25000000e+000 1.51554446e+001 0.00000000e+000 5.96828964e-006 1.55064501e-005 1.62721768e-005 1.60407744e-005 
1.25000000e+000 1.95655948e+001 0.00000000e+000 1.46265297e-005 2.42036544e-005 2.16388372e-005 1.86376553e-005 
1.25000000e+000 2.31503240e+001 0.00000000e+000 3.28768060e-005 3.84395454e-005 3.04018740e-005 2.34424623e-005 
1.25000000e+000 2.62500000e+001 0.00000000e+000 7.61533231e-005 6.40067661e-005 4.50183204e-005 3.12264972e-005 
