TITLE="DIR08_SCB_ER_E_WD280.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
0.00000000e+000 2.18750000e+000 0.00000000e+000 1.06433158e-004 7.26160596e-005 4.56195249e-005 2.77702931e-005 
0.00000000e+000 6.56250000e+000 0.00000000e+000 1.07269934e-004 7.31536412e-005 4.60384227e-005 2.82418548e-005 
0.00000000e+000 1.09375000e+001 0.00000000e+000 1.12574267e-004 7.65658373e-005 4.85248265e-005 3.01809010e-005 
0.00000000e+000 1.53125000e+001 0.00000000e+000 1.29897934e-004 8.79035079e-005 5.60153312e-005 3.50387513e-005 
0.00000000e+000 1.96875000e+001 0.00000000e+000 1.58911870e-004 1.07215223e-004 6.82793877e-005 4.25724551e-005 
0.00000000e+000 2.40625000e+001 0.00000000e+000 1.96008318e-004 1.31907587e-004 8.38251611e-005 5.19897246e-005 
0.00000000e+000 2.84375000e+001 0.00000000e+000 2.33901605e-004 1.57090309e-004 9.96221337e-005 6.15346499e-005 
0.00000000e+000 3.28125000e+001 0.00000000e+000 2.66020965e-004 1.78415834e-004 1.13110547e-004 6.98205295e-005 
2.50000000e-001 2.18750000e+000 0.00000000e+000 3.14655930e-005 3.62322203e-005 2.70583088e-005 1.90265043e-005 
2.50000000e-001 6.56250000e+000 0.00000000e+000 3.29305269e-005 3.71432830e-005 2.76394643e-005 1.95089617e-005 
2.50000000e-001 1.09375000e+001 0.00000000e+000 3.74001114e-005 4.03660159e-005 2.99123496e-005 2.12293597e-005 
2.50000000e-001 1.53125000e+001 0.00000000e+000 4.84530977e-005 4.91055879e-005 3.59861618e-005 2.53624255e-005 
2.50000000e-001 1.96875000e+001 0.00000000e+000 6.93894287e-005 6.50333913e-005 4.65633228e-005 3.21307627e-005 
2.50000000e-001 2.40625000e+001 0.00000000e+000 1.06154393e-004 8.98458406e-005 6.22208708e-005 4.16493158e-005 
2.50000000e-001 2.84375000e+001 0.00000000e+000 1.82642147e-004 1.31078907e-004 8.59034206e-005 5.48249940e-005 
2.50000000e-001 3.28125000e+001 0.00000000e+000 2.62863968e-004 1.71474561e-004 1.08671870e-004 6.73537918e-005 
5.00000000e-001 2.18750000e+000 0.00000000e+000 9.40257174e-006 1.81412274e-005 1.60805849e-005 1.30492155e-005 
